Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
The One Barcelona GL,277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,9.4,1539,332,2172,41.3961448,2.1631674
The Zetter Townhouse Marylebone,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,45,9.3,1010,180,1532,51.514839,-0.1586656
Forest Hill Paris la Villette,28 av Corentin Cariou 19th arr 75019 Paris France,151,7.6,5164,2740,3780,48.8969854,2.3852745
The Levin Hotel,28 Basil Street Kensington and Chelsea London SW3 1AS United Kingdom,37,9.1,729,154,1146,51.4998574,-0.161717
The Tophams Hotel,28 Ebury Street Westminster Borough London SW1W 0LU United Kingdom,60,6.6,5324,411,2061,51.4957436,-0.1477528
Le Pavillon de la Reine Spa,28 place des Vosges 3rd arr 75003 Paris France,74,9.2,1220,376,2719,48.8562725,2.3660412
Hidden Hotel by Elegancia,28 Rue de l Arc de Triomphe 17th arr 75017 Paris France,32,9.1,743,303,2013,48.8775326,2.293458
Le Roch Hotel Spa,28 rue Saint Roch 1st arr 75001 Paris France,13,9,330,118,597,48.8661991,2.3328826
H10 London Waterloo,284 To 302 Waterloo Road Southwark London SE1 8RQ United Kingdom,312,8.5,9612,1114,7441,51.4988817,-0.1062888
San Domenico House,29 31 Draycott Place Kensington and Chelsea London SW3 2SH United Kingdom,76,9,1874,317,1931,51.4917798,-0.1616049
Bloomsbury Palace Hotel,29 31 Gower Street Camden London WC1E 6HG United Kingdom,457,6.8,35958,2751,17428,51.5207945,-0.1310845
Hotel du Petit Moulin,29 31 rue de Poitou 3rd arr 75003 Paris France,38,9.1,698,206,1622,48.8615843,2.3620652
Hotel Atmospheres,29 31 rue des Ecoles 5th arr 75005 Paris France,90,8.7,2393,654,3206,48.8485387,2.3479852
H tel La Comtesse by Elegancia,29 Avenue De Tourville 7th arr 75007 Paris France,43,9,1392,363,2870,48.853865,2.3072019
Hotel Astra Opera Astotel,29 rue Caumartin 9th arr 75009 Paris France,23,8.4,397,250,719,48.8718321,2.3278866
Hotel La Villa Saint Germain Des Pr s,29 Rue Jacob 6th arr 75006 Paris France,33,9.1,688,190,1063,48.8553486,2.3340736
Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009 Paris France,74,9.1,1768,399,3438,48.880856,2.3375085
Innkeeper s Lodge London Greenwich,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom,253,8.2,14456,1191,13526,51.4801631,-0.0097201
Morgan Mees,2e Hugo de Grootstraat 2 6 Westerpark 1052 LC Amsterdam Netherlands,62,8.8,2564,507,3905,52.3743712,4.8746196
Hotel Duminy Vendome,3 5 rue du Mont Thabor 1st arr 75001 Paris France,76,8.2,2674,769,2552,48.8654726,2.3292934
Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,3 avenue Mac Mahon 17th arr 75017 Paris France,117,8.4,2812,774,1970,48.8753837,2.2944651
Holiday Inn London Mayfair,3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,390,8,11213,1894,8549,51.507746,-0.1422993
H tel Recamier,3 Bis Place Saint Sulpice 6th arr 75006 Paris France,39,9,375,164,737,48.8503493,2.3344305
TRYP Paris Op ra,3 Boulevard Montmartre 2nd arr 75002 Paris France,30,7.8,1264,414,987,48.8713619,2.3426375
Royal Saint Michel,3 Boulevard Saint Michel 5th arr 75005 Paris France,120,8,5398,1193,5806,48.8528364,2.3440803
Paddington Court Executive Rooms,3 Devonshire Terrace Westminster Borough London W2 3DN United Kingdom,128,7.9,5316,681,3993,51.5138357,-0.1797976
Novotel London Paddington,3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,232,8.5,6703,1187,6223,51.519032,-0.1825943
Hyatt Regency Paris Etoile,3 Place du G n ral Koenig 17th arr 75017 Paris France,429,7.1,20721,3973,11803,48.8802782,2.2843852
Relais Saint Jacques,3 Rue Abb De L Ep e 5th arr 75005 Paris France,61,8.7,1451,519,2274,48.8430523,2.3422519
Hotel Cambon,3 Rue Cambon 1st arr 75001 Paris France,48,8.3,694,323,851,48.866435,2.3251076
Mercure Paris Montmartre Sacr Coeur,3 Rue Caulaincourt 18th arr 75018 Paris France,159,8.4,5758,1652,4796,48.8852794,2.3301021
Relais Christine,3 Rue Christine 6th arr 75006 Paris France,59,9.1,1427,287,1535,48.8542454,2.339956
Les Matins de Paris Spa,3 rue Clauzel 9th arr 75009 Paris France,27,8.6,1994,413,1831,48.878932,2.3394182
Hotel Square,3 Rue De Boulainvilliers 16th arr 75016 Paris France,15,8.5,549,148,569,48.851589,2.2777274
H tel Bourgogne Montana by MH,3 rue de Bourgogne 7th arr 75007 Paris France,75,8.9,2002,545,2932,48.8601927,2.318423
The Westin Paris Vend me,3 rue de Castiglione 1st arr 75001 Paris France,71,8.1,2091,380,1401,48.8657394,2.3274415
Hotel Montalembert,3 Rue de Montalembert 7th arr 75007 Paris France,22,8.5,592,126,861,48.8567042,2.3277805
H tel Mathis Elys es,3 rue de Ponthieu 8th arr 75008 Paris France,70,8.7,2797,652,3677,48.8700325,2.3112736
Le Saint Hotel Paris,3 rue du Pr aux Clercs 7th arr 75007 Paris France,32,8.8,713,163,738,48.8565421,2.3303504
Hotel Le Squara,3 rue Lepic 18th arr 75018 Paris France,45,8.3,2217,776,2338,48.884165,2.3328261
L Hotel Pergol se Paris,3 Rue Pergolese 16th arr 75116 Paris France,126,8.2,3339,1281,3580,48.8756618,2.2863468
H tel Mayfair Paris,3 Rue Rouget De Lisle 1st arr 75001 Paris France,26,8.5,809,182,972,48.8661363,2.3260648
Best Western Plus de Neuville Arc de Triomphe,3 Rue Verniquet 17th arr 75017 Paris France,62,8,1406,516,1314,48.8869128,2.3004034
South Place Hotel,3 South Place City of London London EC2M 2AF United Kingdom,235,9.3,5555,769,8076,51.5189182,-0.0866009
The Royal Park Hotel,3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,47,8.7,2879,331,3284,51.5142054,-0.1766098
Holiday Inn Paris Op ra Grands Boulevards,30 32 Boulevard Poissonni re 9th arr 75009 Paris France,57,8.2,2217,581,1880,48.8715469,2.3439622
Henley House Hotel,30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,137,8.6,7420,1179,8330,51.4922348,-0.1914229
Holiday Inn London Camden Lock,30 Jamestown Road Camden London NW1 7BY United Kingdom,418,8.6,10750,1572,11101,51.5404555,-0.1460833
DoubleTree by Hilton London Westminster,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,8.5,21969,3269,19673,51.4932356,-0.1269082
Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,8.5,38961,6596,35344,51.5129736,-0.1837431
Hyatt Regency London The Churchill,30 Portman Square Westminster Borough London W1H 7BH United Kingdom,276,8.7,3581,883,3132,51.5156471,-0.1572443
Rathbone,30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,199,8.3,5379,776,5600,51.5186801,-0.1354055
Le Belmont Champs Elys es,30 Rue de Bassano 16th arr 75016 Paris France,56,8.3,1762,328,1469,48.8691984,2.2979052
Duret,30 Rue Duret 16th arr 75016 Paris France,16,8.4,447,167,472,48.8752553,2.286653
H tel Elysees Mermoz,30 Rue Jean Mermoz 8th arr 75008 Paris France,84,8.7,1040,564,1934,48.8715079,2.3122259
Majestic Hotel Spa,30 Rue La P rouse 16th arr 75016 Paris France,33,8.7,469,232,778,48.8703672,2.2938868
BoB Hotel by Elegancia,30 rue Pernety 14th arr 75014 Paris France,31,9,1354,271,1881,48.8335233,2.3191194
Comfort Inn Suites Kings Cross St Pancras,31 33 Argyle Street Camden London WC1H 8EP United Kingdom,219,8.1,8109,1116,7738,51.5289499,-0.1232979
The Queens Gate Hotel,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,524,8.2,20362,2516,18740,51.4981225,-0.1799693
Grange Langham Court Hotel,31 35 Langham Street Westminster Borough London W1W 6BU United Kingdom,146,7.9,6055,754,4240,51.5189077,-0.1421957
Radisson Blu Edwardian Hampshire,31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,378,8.7,13136,1543,10530,51.509963,-0.129797
Four Seasons Hotel George V Paris,31 Avenue George V 8th arr 75008 Paris France,110,9.3,1028,450,2236,48.8687512,2.3001692
The Marble Arch London,31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,365,8.1,9805,1567,7548,51.5151247,-0.1600656
H tel Fabric,31 rue de la Folie M ricourt 11th arr 75011 Paris France,51,9.3,883,344,2849,48.8629329,2.3723823
H tel du Minist re,31 Rue de Surene 8th arr 75008 Paris France,83,8.8,3355,949,4308,48.8712877,2.3191903
Shangri La Hotel at The Shard London,31 St Thomas Street Southwark London SE1 9QU United Kingdom,732,9.4,16077,2200,20184,51.5044972,-0.0855562
Hotel Les Bulles De Paris,32 rue des Ecoles 5th arr 75005 Paris France,52,8.2,3510,712,2813,48.849147,2.3471935
Acad mie H tel Saint Germain,32 rue des Saints P res 7th arr 75007 Paris France,106,9,3906,855,5514,48.855263,2.3305901
Plaza Tour Eiffel,32 Rue Greuze 16th arr 75016 Paris France,37,8.5,936,266,1210,48.8645647,2.2821827
Park Grand London Kensington,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,8.4,39387,4660,37524,51.4938468,-0.1917582
Rocco Forte Brown s Hotel,33 Albemarle Street Mayfair Westminster Borough London W1S 4BP United Kingdom,22,9.1,644,127,643,51.5090558,-0.1421661
Royal Hotel Champs Elys es,33 avenue de Friedland 8th arr 75008 Paris France,146,7.9,3986,983,2532,48.8740463,2.300196
Best Western Allegro Nation,33 Avenue Du Docteur Arnold Netter 12th arr 75012 Paris France,16,7.8,1141,354,473,48.8430891,2.4049867
Prince de Galles a Luxury Collection hotel Paris,33 avenue George V 8th arr 75008 Paris France,42,9,468,171,349,48.869143,2.3006526
The Beaufort,33 Beaufort Gardens Kensington and Chelsea London SW3 1PP United Kingdom,124,8.8,2905,510,3446,51.4978466,-0.164156
H tel La Parizienne by Elegancia,33 Boulevard du Montparnasse 6th arr 75006 Paris France,52,8.5,2466,672,2877,48.8450894,2.3209503
Madeleine Plaza,33 place de la Madeleine 8th arr 75008 Paris France,74,8.4,1488,836,2120,48.8710402,2.3248014
Blakes Hotel,33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,40,8,1638,190,851,51.4892447,-0.1803196
Castille Paris Starhotels Collezione,33 Rue Cambon 1st arr 75001 Paris France,117,8.7,2949,808,2731,48.8682978,2.3268027
H tel D Aubusson,33 Rue Dauphine 6th arr 75006 Paris France,211,9.4,2813,941,6603,48.8547329,2.3395277
Hotel Oscar,33 rue Marbeuf 8th arr 75008 Paris France,72,8.5,1375,408,1618,48.8694755,2.3046954
Best Western Bretagne Montparnasse,33 rue Raymond Losserand 14th arr 75014 Paris France,120,7.7,3057,1540,3122,48.8354314,2.321142
The Westbridge Hotel,335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,9,8729,1200,12153,51.5373904,-0.0023367
Courthouse Hotel Shoreditch,335 337 Old Street Hackney London EC1V 9LL United Kingdom,144,8.9,7278,477,5792,51.5273442,-0.0796152
ME London by Melia,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,345,9.2,6508,1017,8564,51.511879,-0.118552
Grange Clarendon Hotel,34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,171,8.1,7649,823,6064,51.5197933,-0.1241844
Hotel Indigo London Kensington,34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,147,9.1,5032,975,8331,51.4920287,-0.1917801
Novotel Paris 17,34 Avenue Porte d Asni res 17th arr 75017 Paris France,53,7.9,2051,750,1353,48.8920485,2.3023791
Rafayel Hotel Spa,34 Lombard Road Battersea London SW11 3RF United Kingdom,472,8,22025,1378,12367,51.4703604,-0.1779869
Norfolk Towers Paddington,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,7.9,36611,4065,24237,51.5162883,-0.1721078
Artus Hotel by MH,34 Rue de Buci 6th arr 75006 Paris France,50,9,473,261,1085,48.8535639,2.3360169
Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France,141,8.9,4373,1444,6797,48.8814425,2.3235592
Timhotel Op ra Blanche Fontaine,34 Rue Fontaine 9th arr 75009 Paris France,58,8.4,1795,466,2124,48.8825781,2.3334805
H tel Amastan Paris,34 rue Jean Mermoz 8th arr 75008 Paris France,14,9.1,304,102,728,48.8716831,2.3123759
H tel Gustave,34 Rue Viala 15th arr 75015 Paris France,68,8.8,3064,625,3704,48.8502052,2.289043
Best Western Maitrise Hotel Edgware Road,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,73,6.6,7765,461,2203,51.521148,-0.171346
Georgian House Hotel,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,120,8.4,7276,918,6675,51.490724,-0.143868
Best Western Tour Eiffel Invalides,35 Boulevard de la tour Maubourg 7th arr 75007 Paris France,48,7.9,1518,364,1222,48.8593152,2.3104179
The Chesterfield Mayfair,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,9.1,4830,1166,10230,51.5076899,-0.1471358
My Chelsea,35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,235,8.2,7989,1003,7167,51.4919083,-0.1684398
Eiffel Trocad ro,35 Rue Benjamin Franklin 16th arr 75016 Paris France,46,8,2970,435,2292,48.8613055,2.2862823
Hotel Saint Petersbourg Opera,35 Rue Caumartin 9th arr 75009 Paris France,211,8.9,4885,2412,7607,48.872174,2.328075
H tel Champs lys es Plaza,35 Rue De Berri 8th arr 75008 Paris France,52,8.7,583,343,1304,48.8737043,2.3061477
Melia Paris Tour Eiffel,35 Rue Jean Goujon 8th arr 75008 Paris France,22,8.1,832,241,729,48.8651994,2.3045076
Timhotel Op ra Grands Magasins,35 Rue La Bruy re 9th arr 75009 Paris France,43,8.3,1186,466,1326,48.8794682,2.3334957
Dukes Hotel,35 St James s Place Westminster Borough London SW1A 1NY United Kingdom,57,8.6,1491,210,1026,51.5055381,-0.1396885
Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,252,8.1,10429,1600,7626,51.5146025,-0.1481978
Pestana Chelsea Bridge Hotel Spa,354 Queenstown Road Battersea London SW8 4AE United Kingdom,568,8.6,11217,1686,10316,51.4815995,-0.1481053
Arbor Hyde Park,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,322,8.4,15071,2140,16432,51.5126488,-0.1803795
Mercure Paris Porte De Versailles Expo,36 38 Rue Du Moulin 92170 Paris France,24,7.7,692,462,541,48.8268251,2.2912033
Great St Helen Hotel,36 Great st Helens City of London London EC3A 6AP United Kingdom,264,7.4,11914,1328,7087,51.5149583,-0.0823869
Hotel Whistler,36 rue de Saint Quentin 10th arr 75010 Paris France,11,9.2,400,115,1010,48.879314,2.3560185
Hotel Georgette,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,28,8.8,1094,307,1250,48.8632723,2.352691
Westside Arc de Triomphe Hotel,36 rue Pierre Demours 17th arr 75017 Paris France,166,8.1,5637,1738,6222,48.8811741,2.2948337
Etoile Saint Ferdinand,36 rue Saint Ferdinand 17th arr 75017 Paris France,55,8.3,1581,560,2171,48.8777895,2.2872498
H tel Saint Marc,36 Rue Saint Marc 2nd arr 75002 Paris France,44,9.3,1136,377,2199,48.8708863,2.3382128
United Lodge Hotel and Apartments,368 370 Green Lanes London N4 1DA United Kingdom,100,7.5,6068,714,4838,51.5743549,-0.0977567
H tel Le Walt,37 Avenue De La Motte Picquet 7th arr 75007 Paris France,40,8.8,706,257,1740,48.8547161,2.306642
H tel Le Royal Monceau Raffles Paris,37 Avenue Hoche 8th arr 75008 Paris France,6,9.3,411,119,553,48.8756359,2.3004967
Eccleston Square Hotel,37 Eccleston Square Westminster Borough London SW1V 1PB United Kingdom,82,8.5,3463,369,2790,51.4911924,-0.1449474
Nottingham Place Hotel,37 Nottingham Place Westminster Borough London W1U 5LT United Kingdom,103,8.2,5655,580,4815,51.522143,-0.153385
Hotel Claridge Paris,37 rue Fran ois 1er 8th arr 75008 Paris France,120,8.1,2806,724,2497,48.8684243,2.3036244
Strand Palace Hotel,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,8.1,76687,9568,56897,51.5110993,-0.1208673
H tel L Echiquier Op ra Paris MGallery by Sofitel,38 rue de l Echiquier 10th arr 75010 Paris France,89,9.1,1329,666,3572,48.8719889,2.3492913
H tel De Castiglione,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,118,7.2,5707,1168,3316,48.8691758,2.3205807
Hilton London Olympia,380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,438,7.4,21732,1786,11496,51.4967399,-0.2064723
Grange Buckingham Hotel,39 40 Bedford Place Bloomsbury Camden London WC1B 5JT United Kingdom,18,8.5,672,128,750,51.5196124,-0.1239628
The Cleveland,39 40 Cleveland Square Westminster Borough London W2 6DA United Kingdom,153,8.2,5252,909,6297,51.5139692,-0.1828202
Dorset Square Hotel,39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,61,9,2080,263,2393,51.5226361,-0.1602871
Edouard 7 Paris Op ra,39 Avenue de l Op ra 2nd arr 75002 Paris France,80,9.1,2175,798,4267,48.8683133,2.3330851
Renaissance Paris Arc de Triomphe Hotel,39 Avenue de Wagram 17th arr 75017 Paris France,36,8.4,962,214,792,48.8772093,2.2968266
Rubens At The Palace,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,332,8.7,10643,1449,16515,51.4981471,-0.1436492
every hotel Piccadilly,39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,326,8.8,7297,1685,9335,51.5101462,-0.1315061
Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,7.8,56877,5726,31838,51.4935083,-0.1834346
Novotel Suites Paris Expo Porte de Versailles,4 Boulevard Brune 14th arr 75014 Paris France,91,8.8,3603,1250,5206,48.827388,2.305478
K K H tel Cayr Saint Germain des Pr s,4 Boulevard Raspail 7th arr 75007 Paris France,194,8.4,6183,1431,6333,48.8553117,2.3254628
Fielding Hotel,4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,294,8.7,9282,1271,14588,51.5139315,-0.1219893
DoubleTree by Hilton Hotel London Marble Arch,4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,255,8.1,7377,1290,5258,51.514573,-0.15666
Holiday Inn London West,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,401,8.1,15950,1500,9784,51.5210117,-0.2628618
The Soho Hotel,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,107,9.5,1699,385,3247,51.5139805,-0.1337948
Le Grand H tel de Normandie,4 rue Amsterdam 9th arr 75009 Paris France,14,7.5,1217,156,518,48.8759461,2.3270955
Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,4 rue Cadet 9th arr 75009 Paris France,36,8.7,1026,334,1274,48.8742767,2.3426276
H tel de La Tamise Esprit de France,4 rue d Alger 1st arr 75001 Paris France,36,9.6,581,166,1555,48.8648656,2.3295756
Buddha Bar Hotel Paris,4 rue d Anjou 8th arr 75008 Paris France,97,8.8,1849,538,1415,48.8694695,2.3208564
Le A,4 rue d Artois 8th arr 75008 Paris France,76,8.9,1121,348,2006,48.8723844,2.3088663
Holiday Inn Paris Notre Dame,4 rue Danton 6th arr 75006 Paris France,132,8.3,5109,1174,6147,48.8528427,2.3422256
Mercure Paris Opera Garnier,4 Rue de L Isly 8th arr 75008 Paris France,42,8.1,1485,501,1455,48.8749511,2.3259532
Maison Albar Hotel Paris Op ra Diamond,4 rue de la P pini re 8th arr 75008 Paris France,172,8.8,4893,1524,5889,NA,NA
Grand H tel Du Palais Royal,4 Rue De Valois 1st arr 75001 Paris France,119,9.2,2533,704,5432,48.8630829,2.3378592
Best Western Aulivia Op ra,4 Rue des Petites Ecuries 10th arr 75010 Paris France,51,7.8,1844,570,1736,48.8730552,2.3540112
Renaissance Paris Vendome Hotel,4 Rue Du Mont Thabor 1st arr 75001 Paris France,13,7.9,337,74,395,48.8654532,2.3295231
Hotel Park Lane Paris,4 Rue La Boetie 8th arr 75008 Paris France,81,8.7,1931,824,3293,48.8745879,2.3188143
Little Palace Hotel,4 rue Salomon de Caus 3rd arr 75003 Paris France,166,8.2,6145,1377,6449,48.8675674,2.3539896
Napoleon Paris,40 avenue de Friedland 8th arr 75008 Paris France,183,8.5,3105,1144,2950,48.8743885,2.2980915
Andaz London Liverpool Street,40 Liverpool Street City of London London EC2M 7QN United Kingdom,346,9,8717,1283,9954,51.5172825,-0.0812451
Novotel London Canary Wharf,40 Marsh Wall Tower Hamlets London E14 9TP United Kingdom,102,9,3010,320,3248,51.5011704,-0.0232607
H tel de Lille,40 rue de Lille 7th arr 75007 Paris France,78,8.9,1567,533,3527,48.8585626,2.3299138
H tel Concorde Montparnasse,40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,7.9,13072,2515,9994,48.8381079,2.318669
Suites H tel Helzear Montparnasse,40 rue Liancourt 14th arr 75014 Paris France,24,8.1,2748,544,1773,48.8346811,2.3255098
Renaissance Paris Republique Hotel Spa,40 Rue Rene Boulanger 10th arr 75010 Paris France,7,8.5,123,54,160,48.8687804,2.3610196
citizenM Tower of London,40 trinity square City of London London EC3N 4DJ United Kingdom,832,9.1,26294,4672,41117,51.510237,-0.0764428
Chiswick Rooms,407 Goldhawk Rd Chiswick London W6 0SA United Kingdom,256,7.8,6129,882,5075,51.4937409,-0.244896
Claridge s,41 43 Brook Street Westminster Borough London W1K 4HJ United Kingdom,71,9.3,2348,293,2929,51.5125035,-0.1477438
La Suite West Hyde Park,41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,154,8,6188,768,3892,51.5126758,-0.1867828
St James Court A Taj Hotel London,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,8.7,35449,5394,36640,51.4986732,-0.1376867
Elys es R gencia,41 Avenue Marceau 16th arr 75016 Paris France,160,8.2,3741,1100,4589,48.8686434,2.2984054
H tel De Sers Champs Elys es Paris,41 Avenue Pierre 1er de Serbie 8th arr 75008 Paris France,62,8.5,1207,347,1329,48.8683593,2.3002117
Hotel le Lapin Blanc,41 boulevard Saint Michel 5th arr 75005 Paris France,73,9.1,2555,619,3444,48.8491801,2.3423357
41,41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,66,9.6,915,244,2606,51.4981471,-0.1436492
Shaftesbury Suites London Marble Arch,41 Great Cumberland Place Westminster Borough London W1H 7LG United Kingdom,151,8.1,5548,800,3806,51.515755,-0.1603335
Grange Strathmore Hotel,41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,202,8,9979,984,7274,51.4958184,-0.1813958
H tel R de Paris Boutique Hotel,41 rue de Clichy 9th arr 75009 Paris France,71,9.1,1554,533,3402,48.8799239,2.3288332
Villa Panth on,41 Rue Des Ecoles 5th arr 75005 Paris France,126,8.1,5297,1374,5119,48.8488044,2.3469889
Trinit Haussmann,41 rue Jean Baptiste Pigalle 9th arr 75009 Paris France,24,8.4,2109,319,1425,48.8800565,2.3342353
The RE London Shoreditch,419 437 Hackney Road London E2 8PP United Kingdom,688,7.8,19226,2147,12809,51.531979,-0.061598
London City Suites,42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,417,8.9,12619,1744,15017,51.5206309,-0.0915341
H tel Crayon Rouge by Elegancia,42 rue Croix des Petits Champs 1st arr 75001 Paris France,19,9,1558,300,2061,48.8644967,2.3405415
Mercure Paris Opera Grands Boulevards,42 Rue Des Petites Ecuries 10th arr 75010 Paris France,32,8,1161,359,1399,48.8740668,2.3502172
St George s Hotel Wembley,43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,540,8.9,20883,2274,24332,51.5553678,-0.2864945
Hotel Le Saint Gregoire,43 Rue De l Abb Gr goire 6th arr 75006 Paris France,6,8.5,167,106,290,48.8471891,2.3260138
Le Mathurin Hotel Spa,43 Rue des Mathurins 8th arr 75008 Paris France,135,8.6,2328,1184,2763,48.8732068,2.3239015
H tel Saint Paul Rive Gauche,43 rue Monsieur le Prince 6th arr 75006 Paris France,25,8.9,519,135,1094,48.8496819,2.3402806
The Justin James Hotel,43 Worple Road Wimbledon London SW19 4JZ United Kingdom,166,8.3,4491,561,4619,51.4202661,-0.211268
Millennium Hotel London Mayfair,44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,806,7.8,25447,3117,13881,51.510574,-0.1509951
H tel de Varenne,44 rue de Bourgogne 7th arr 75007 Paris France,56,8.7,1242,315,2143,48.8570275,2.3170282
A La Villa Madame,44 Rue Madame 6th arr 75006 Paris France,24,8.8,347,185,805,48.8488608,2.3315257
The Curtain,45 Curtain Road Hackney London EC2A 4PJ United Kingdom,18,9.1,979,59,652,51.5237209,-0.0806178
45 Park Lane Dorchester Collection,45 Park Lane Westminster Borough London W1K 1PN United Kingdom,27,9.4,189,68,323,51.5063709,-0.1515359
Grange Tower Bridge Hotel,45 Prescot Street City of London London E1 8GP United Kingdom,531,8.7,13384,1668,11444,51.5115509,-0.0714919
Le Tsuba Hotel,45 Rue des Acacias 17th arr 75017 Paris France,49,9.3,672,287,1321,48.8777621,2.293177
St Martins Lane A Morgans Original,45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,338,9,6972,1241,9114,51.5104696,-0.1265824
H tel Barri re Le Fouquet s,46 Avenue George V 8th arr 75008 Paris France,25,9,325,194,385,48.8710709,2.3013119
Novotel London Blackfriars,46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,231,8.7,6889,1362,7135,51.5050165,-0.1049831
Hotel Villa Lafayette Paris IX,46 Rue De Tr vise 9th arr 75009 Paris France,5,8.8,306,97,942,48.8760884,2.3456465
Canary Riverside Plaza Hotel,46 Westferry Circus Tower Hamlets London E14 8RS United Kingdom,122,8.9,1829,310,2588,51.5066991,-0.0280208
The Marylebone Hotel,47 Welbeck Street Westminster Borough London W1G 8DN United Kingdom,411,8.9,11191,1738,12025,51.5180207,-0.1500567
L Empire Paris,48 Rue De L arbre Sec 1st arr 75001 Paris France,74,8.6,1770,619,2381,48.8607764,2.3427564
The Zetter Townhouse Clerkenwell,49 50 St John s Square Islington London EC1V 4JJ United Kingdom,25,9.1,590,81,695,51.5231564,-0.1035134
The Whitechapel,49 53 New Road Tower Hamlets London E1 1HH United Kingdom,187,7.6,6431,830,4938,51.5161286,-0.0624458
Suites H tel Helzear Champs Elys es,49 Avenue Marceau 16th arr 75116 Paris France,112,8.2,4774,965,4186,48.8691399,2.2981024
St George Hotel,49 Gloucester Place Marble Arch Westminster Borough London W1U 8JE United Kingdom,61,7.4,3082,334,1558,51.5182768,-0.1583511
Best Western Premier Op ra Faubourg Ex Hotel Jules ,49 Rue La Fayette 9th arr 75009 Paris France,205,8.1,5812,1966,5741,48.8753359,2.3414617
Pershing Hall,49 rue Pierre Charron 8th arr 75008 Paris France,19,8.2,194,67,130,48.8691325,2.3021659
The Premier Notting Hill,5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom,371,7.3,28168,2215,15812,51.5127453,-0.1926437
H tel Pont Royal,5 7 Rue De Montalembert 7th arr 75007 Paris France,33,8.6,1351,249,1307,48.8565629,2.3273623
Le G n ral H tel,5 7 rue Rampon 11th arr 75011 Paris France,69,9.1,2135,480,3941,48.8662695,2.3668616
